pl_facility,Lat,Long,Country
HATNet,36.60130915741929,36.1642283233397,Turkey
Kepler,28.28286497934571,76.95092702866663,India
Haute-Provence Observatory,43.934785811891544, 5.710468196428772,France
W. M. Keck Observatory,19.826182923386884,-155.47466064445106,United States
Okayama Astrophysical Observatory,34.57626925852186,133.594117469247,Japan
Anglo-Australian Telescope,31.675295133036,-110.952129118361,United States
Lick Observatory,37.34163475439212,-121.642953117207,United States
McDonald Observatory,30.67998932436338,-104.02486558849169,United States
Subaru Telescope,19.702875208066,-155.09029490212404,United States
La Silla Observatory,-29.25599763332079,-70.73803507297006,Chile
Thueringer Landessternwarte Tautenburg,50.98179246115381,11.711641315653754,Germany
Multiple Observatories,,,
Las Campanas Observatory,-29.017831893667957, -70.69153047482668,Chile
Bohyunsan Optical Astronomical Observatory,36.164907636049264,128.97703498091835,South Korea
Fred Lawrence Whipple Observatory,31.67524034916506,-110.95194672895194,United States
Paranal Observatory,-24.627121725717668, -70.40440024237628,Chile
Kitt Peak National Observatory,31.960090137039106,-111.59973697312685,United States
Oak Ridge Observatory,35.837128234391,-84.62383270189284,United States
Roque de los Muchachos Observatory,28.757562013479163,-17.885052079505808,Spain
K2,,,
Gemini Observatory,19.824071312558303,-155.46883952910727,United States
KELT,,,
TrES,,,
Xinglong Station,40.41416219719068,117.49441947121622,China
Yunnan Astronomical Observatory,25.022361368190165, 102.79003072677045,China
Spitzer Space Telescope,40.781527178026195, -73.97399893062723,United States
Leoncito Astronomical Complex,-31.798333407474043, -69.29566381709324,Argentina
Cerro Tololo Inter-American Observatory,-30.168745943149286, -70.80631081527837,Chile
Hubble Space Telescope,37.33874831227483,-92.90715394604311,United States
Palomar Observatory,33.35655660096103,-116.86494585775883,United States
MEarth Project,36.54242861279997,-121.89552127489482,United States
HATSouth,,,
CoRoT,,,
SuperWASP,36.0016427711661, -78.938185686546,United States
Large Binocular Telescope Observatory,32.70129233392078,-109.88915490195014,United States
Multiple Facilities,,,
MOA,50.033306835771356, 20.220804998433113,Poland
SuperWASP-South,,,
KELT-South,,,
OGLE,,,
Arecibo Observatory,18.346503722470583, -66.75287324631593,Puerto Rico
Parkes Observatory,-32.9978043064331,148.26306411362202,Australia
Qatar,25.23626495535206,51.12972203080121,Qatar
Infrared Survey Facility,,,
Teide Observatory,28.48073472377711,-16.30895822248888,Spain
European Southern Observatory,48.259718592184434,11.670954698386845,Germany
XO,,,
KMTNet,-30.1669367180211, -70.80399343062209,Chile
United Kingdom Infrared Telescope,19.8226414560341,155.47034644630253,England
SuperWASP-North,36.00165145079532,-78.93820714421787,United States
Apache Point Observatory,32.780352205789484,-105.81986711914388,
KELT-North,,,
Mauna Kea Observatory,19.823267627646658,-155.46923372540434,United States
Transiting Exoplanet Survey Satellite (TESS),38.995041702632, -76.85234400182955,United States
Calar Alto Observatory,37.22093555807418,-2.5467359441939323,Spain
WASP-South,,,
Atacama Large Millimeter Array (ALMA),-23.023167580472713, -67.75377985774968,Chile
Winer Observatory,31.665895039190534,-110.601725215460,United States
Haleakala Observatory,20.70847422072602,-156.25668982909863,United States
KOINet,-34.58031874607582,19.351709982972494,South Africa
Acton Sky Portal Observatory,,,
